# Domain taxonomy for FEI Jumping Rules question bank
# Slugs must match exactly across all language folders.

DOMAIN_SLUG                          | ABBR | LABEL (en)                                  | PRIMARY_ARTICLES
arena-warmup                         | awr  | Arena, warm-up, and training areas          | 241, 242, 243
obstacles                            | obs  | Obstacles and obstacle construction         | 232, 233, 234, 235, 236, 237, 238, 239, 240; Annex IV
faults-during-course                 | fdc  | Faults during a round                       | 244, 245, 246, 247, 248, 249
time-speed                           | tsp  | Time, speed, and timing corrections         | 250, 251, 252, 253, 254, 255, 256, 257, 258; Annex V
penalty-tables                       | pte  | Penalty tables (Table A / Table C)          | 217.1, 217.2, 217.3
fines-warnings-elimination-disqualification | fwd  | Fines, warnings, elimination, disqualification, abuse | 259, 260, 261, 262, 263, 264, 265, 266
jump-offs                            | jof  | Jump-offs, second rounds, winning rounds    | 218
classification                       | cls  | Placings, honours, and classification       | 267, 268; parts of 219-230, 280-301
competitors-horses                   | cah  | Athletes, horses, eligibility, tack, gear   | 202, 203, 204, 205, 206, 207; 275, 276, 277, 303, 304, 305, 306, 307
competition-types                    | cty  | Competition formats and championships       | 216, 217, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230; 280-301
vet-medication-passports             | vmp  | Veterinary, medication, and passports       | 210; 275.1, 275.2, 275.3

# Cross-references are common; tag items by the domain that best matches the
# testable fact, and cite the actual article in the item file.
